source,destination,operating_days,time,bus_route_id,price,duration
London,Birmingham,Everyday,08:00,LBH01,15.00,3h 30m
London,Birmingham,Everyday,10:00,LBH01,15.00,3h 30m
London,Birmingham,Everyday,12:00,LBH01,15.00,3h 30m
London,Birmingham,Everyday,14:00,LBH01,15.00,3h 30m
London,Birmingham,Everyday,16:00,LBH01,15.00,3h 30m
London,Birmingham,Everyday,18:00,LBH01,15.00,3h 30m
Birmingham,London,Everyday,09:00,BHL01,15.00,3h 30m
Birmingham,London,Everyday,11:00,BHL01,15.00,3h 30m
Birmingham,London,Everyday,13:00,BHL01,15.00,3h 30m
Birmingham,London,Everyday,15:00,BHL01,15.00,3h 30m
Birmingham,London,Everyday,17:00,BHL01,15.00,3h 30m
Birmingham,London,Everyday,19:00,BHL01,15.00,3h 30m
London,Manchester,Everyday,08:30,LMA01,18.00,4h 0m
London,Manchester,Everyday,10:30,LMA01,18.00,4h 0m
London,Manchester,Everyday,12:30,LMA01,18.00,4h 0m
London,Manchester,Everyday,14:30,LMA01,18.00,4h 0m
London,Manchester,Everyday,16:30,LMA01,18.00,4h 0m
London,Manchester,Everyday,18:30,LMA01,18.00,4h 0m
Manchester,London,Everyday,09:30,MLO01,18.00,4h 0m
Manchester,London,Everyday,11:30,MLO01,18.00,4h 0m
Manchester,London,Everyday,13:30,MLO01,18.00,4h 0m
Manchester,London,Everyday,15:30,MLO01,18.00,4h 0m
Manchester,London,Everyday,17:30,MLO01,18.00,4h 0m
Manchester,London,Everyday,19:30,MLO01,18.00,4h 0m
Manchester,Liverpool,Everyday,07:30,MLI01,12.00,1h 30m
Manchester,Liverpool,Everyday,09:30,MLI01,12.00,1h 30m
Manchester,Liverpool,Everyday,11:30,MLI01,12.00,1h 30m
Manchester,Liverpool,Everyday,13:30,MLI01,12.00,1h 30m
Manchester,Liverpool,Everyday,15:30,MLI01,12.00,1h 30m
Manchester,Liverpool,Everyday,17:30,MLI01,12.00,1h 30m
Liverpool,Manchester,Everyday,08:30,LIM01,12.00,1h 30m
Liverpool,Manchester,Everyday,10:30,LIM01,12.00,1h 30m
Liverpool,Manchester,Everyday,12:30,LIM01,12.00,1h 30m
Liverpool,Manchester,Everyday,14:30,LIM01,12.00,1h 30m
Liverpool,Manchester,Everyday,16:30,LIM01,12.00,1h 30m
Liverpool,Manchester,Everyday,18:30,LIM01,12.00,1h 30m
London,Glasgow,Everyday,09:00,LGL01,25.00,7h 0m
London,Glasgow,Everyday,13:00,LGL01,25.00,7h 0m
London,Glasgow,Everyday,17:00,LGL01,25.00,7h 0m
London,Glasgow,Everyday,21:00,LGL01,25.00,7h 0m
Glasgow,London,Everyday,07:00,GLO01,25.00,7h 0m
Glasgow,London,Everyday,11:00,GLO01,25.00,7h 0m
Glasgow,London,Everyday,15:00,GLO01,25.00,7h 0m
Glasgow,London,Everyday,19:00,GLO01,25.00,7h 0m
London,Bristol,Everyday,09:30,LBR01,18.00,2h 30m
London,Bristol,Everyday,13:30,LBR01,18.00,2h 30m
London,Bristol,Everyday,17:30,LBR01,18.00,2h 30m
London,Bristol,Everyday,20:30,LBR01,18.00,2h 30m
Bristol,London,Everyday,08:30,BLO01,18.00,2h 30m
Bristol,London,Everyday,12:30,BLO01,18.00,2h 30m
Bristol,London,Everyday,16:30,BLO01,18.00,2h 30m
Bristol,London,Everyday,19:30,BLO01,18.00,2h 30m
Birmingham,Leeds,Weekdays,08:00,BHL02,17.00,2h 45m
Birmingham,Leeds,Weekdays,12:00,BHL02,17.00,2h 45m
Birmingham,Leeds,Weekdays,16:00,BHL02,17.00,2h 45m
Birmingham,Leeds,Weekdays,20:00,BHL02,17.00,2h 45m
Leeds,Birmingham,Weekdays,09:00,LBH02,17.00,2h 45m
Leeds,Birmingham,Weekdays,13:00,LBH02,17.00,2h 45m
Leeds,Birmingham,Weekdays,17:00,LBH02,17.00,2h 45m
Leeds,Birmingham,Weekdays,21:00,LBH02,17.00,2h 45m
Glasgow,Edinburgh,Everyday,07:00,GED01,10.00,1h 0m
Glasgow,Edinburgh,Everyday,11:00,GED01,10.00,1h 0m
Glasgow,Edinburgh,Everyday,15:00,GED01,10.00,1h 0m
Glasgow,Edinburgh,Everyday,19:00,GED01,10.00,1h 0m
Edinburgh,Glasgow,Everyday,08:00,EDG01,10.00,1h 0m
Edinburgh,Glasgow,Everyday,12:00,EDG01,10.00,1h 0m
Edinburgh,Glasgow,Everyday,16:00,EDG01,10.00,1h 0m
Edinburgh,Glasgow,Everyday,20:00,EDG01,10.00,1h 0m
London,Edinburgh,Weekends,08:00,LED02,28.00,8h 0m
London,Edinburgh,Weekends,12:00,LED02,28.00,8h 0m
London,Edinburgh,Weekends,16:00,LED02,28.00,8h 0m
London,Edinburgh,Weekends,20:00,LED02,28.00,8h 0m
Edinburgh,London,Weekends,09:00,ELO01,28.00,8h 0m
Edinburgh,London,Weekends,13:00,ELO01,28.00,8h 0m
Edinburgh,London,Weekends,17:00,ELO01,28.00,8h 0m
Edinburgh,London,Weekends,21:00,ELO01,28.00,8h 0m
Manchester,Leeds,Everyday,09:00,MLE01,14.00,1h 30m
Manchester,Leeds,Everyday,14:00,MLE01,14.00,1h 30m
Manchester,Leeds,Everyday,16:00,MLE01,14.00,1h 30m
Manchester,Leeds,Everyday,19:00,MLE01,14.00,1h 30m
Leeds,Manchester,Everyday,08:00,LMA02,14.00,1h 30m
Leeds,Manchester,Everyday,13:00,LMA02,14.00,1h 30m
Leeds,Manchester,Everyday,15:00,LMA02,14.00,1h 30m
Leeds,Manchester,Everyday,18:00,LMA02,14.00,1h 30m
Birmingham,Manchester,Everyday,08:30,BMN01,16.00,2h 0m
Birmingham,Manchester,Everyday,12:30,BMN01,16.00,2h 0m
Birmingham,Manchester,Everyday,16:30,BMN01,16.00,2h 0m
Birmingham,Manchester,Everyday,20:30,BMN01,16.00,2h 0m
Manchester,Birmingham,Everyday,09:30,MNB01,16.00,2h 0m
Manchester,Birmingham,Everyday,13:30,MNB01,16.00,2h 0m
Manchester,Birmingham,Everyday,17:30,MNB01,16.00,2h 0m
Manchester,Birmingham,Everyday,21:30,MNB01,16.00,2h 0m
Liverpool,Leeds,Weekdays,09:00,LIL01,15.00,1h 45m
Liverpool,Leeds,Weekdays,15:00,LIL01,15.00,1h 45m
Leeds,Liverpool,Weekdays,10:00,LLI01,15.00,1h 45m
Leeds,Liverpool,Weekdays,16:00,LLI01,15.00,1h 45m
Cardiff,Bristol,Weekends,10:00,CBR01,12.00,1h 15m
Cardiff,Bristol,Weekends,16:00,CBR01,12.00,1h 15m
Bristol,Cardiff,Weekends,11:00,BCA01,12.00,1h 15m
Bristol,Cardiff,Weekends,17:00,BCA01,12.00,1h 15m
Newcastle,Sheffield,Weekdays,11:00,NSH01,22.00,3h 0m
Newcastle,Sheffield,Weekdays,17:00,NSH01,22.00,3h 0m
Sheffield,Newcastle,Weekdays,12:00,SNE01,22.00,3h 0m
Sheffield,Newcastle,Weekdays,18:00,SNE01,22.00,3h 0m
